Country,Alcohol-related road traffic crashes (% of all traffic crashes) 2013,Alcohol-related road traffic crashes (% of all traffic crashes) 2012,Alcohol-related road traffic crashes (% of all traffic crashes) 2011,Alcohol-related road traffic crashes (% of all traffic crashes) 2010,Alcohol-related road traffic crashes (% of all traffic crashes) 2009,Alcohol-related road traffic crashes (% of all traffic crashes) 2008,Alcohol-related road traffic crashes (% of all traffic crashes) 2007,Alcohol-related road traffic crashes (% of all traffic crashes) 2006,Alcohol-related road traffic crashes (% of all traffic crashes) 2005,Alcohol-related road traffic crashes (% of all traffic crashes) 2004,Alcohol-related road traffic crashes (% of all traffic crashes) 2003,Alcohol-related road traffic crashes (% of all traffic crashes) 2002,Alcohol-related road traffic crashes (% of all traffic crashes) 2001,Alcohol-related road traffic crashes (% of all traffic crashes) 2000,Alcohol-related road traffic crashes (% of all traffic crashes) 1999,Alcohol-related road traffic crashes (% of all traffic crashes) 1998,Alcohol-related road traffic crashes (% of all traffic crashes) 1997,Alcohol-related road traffic crashes (% of all traffic crashes) 1996,Alcohol-related road traffic crashes (% of all traffic crashes) 1995,Alcohol-related road traffic crashes (% of all traffic crashes) 1994,Alcohol-related road traffic crashes (% of all traffic crashes) 1993,Alcohol-related road traffic crashes (% of all traffic crashes) 1992,Alcohol-related road traffic crashes (% of all traffic crashes) 1991,Alcohol-related road traffic crashes (% of all traffic crashes) 1990 
Albania,,,,,,5.5,,,,,,,,,,,,,,,,,,
Armenia,,,,,,3.4,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,30,,,,,
Austria,6.1,6.6,6.4,6.4,6.6,6.8,6.6,6.5,6.7,,,,,,,,,,,,,,,
Azerbaijan,,3.4,3.2,2.7,3.4,2.7,,,3,,,,,4.7,,,,,4.5,,,,,
Belarus,12.2,13.5,15.2,14,15.2,14,11.4,10.5,10.7,,,,,,,,,,,,,,,
Belgium,,,,,,,,,,,,,,8.5,,,,,,,,,,
Bhutan,,18.1,16.1,15.1,24.3,7.8,4.8,2.5,2.3,5.5,,,,6.9,,,,,,,,,,
Bolivia (Plurinational State of),,,,,,,,,,51.9,,,,,,,,,,,,,,19
Brazil,,,,,,,,,,,,,,,,,,,,,,,,25
Bulgaria,3.5,4,4.1,4.3,,,,,,,,,,,,,,,,,,,,
Cambodia,,,,13,13.7,18,,,,,,,,,,,,,,,,,,
Canada,,,,18.9,18.7,18.6,19,20.3,17.7,18.6,17.7,18.9,19.2,18.6,18.9,18.7,19.4,20.2,20.8,,,,,
Chile,,,,,,,,,,,,,,,,50,,,,,,,,
China,,,,,,,,,,,,,50,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,15,,,,,
Cook Islands,,62.8,53.3,56.5,57.7,64,48.8,50,35.6,38.5,30.5,22.2,29.7,24.7,18.8,28.4,43.8,30,28.4,,,,,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,5,,
Croatia,7.5,7.9,7.5,7.3,7.8,8,7.6,10.1,9.3,,,,,,,,,,,,,,,
Cyprus,,,,,,21,,,,,,,,,,,,,,,,,,
Czechia,5.6,6.1,7,6.6,7.7,4.5,4.1,3.6,4.1,,,5.3,,,,,,,,,,,,
Denmark,14.4,14.7,15.9,15.2,16.3,16.4,17.4,16,16.1,17.5,17.6,17.3,16.6,17.3,,15.1,15.7,15.4,15.3,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,33
Estonia,14,15,14,15,18.6,20.9,22.5,20.9,18.9,18.2,20.7,23.2,21,21,38.6,47.9,44.4,,55.2,49.9,41,,,
Finland,,8.5,9.4,10.3,10.9,11.3,12.4,11.9,12.2,14.9,14.4,14.8,14.6,14.6,,14.7,14.1,13.7,14.1,,,,,
France,,,13.4,13.4,13,12.4,13.4,13.7,11.8,10.8,11.1,11.7,11.5,11.8,,,,,,,,,,
Georgia,4.1,4.2,6.2,5.2,6.5,6.3,6.3,4.7,8.5,2.9,5.8,,,,,,,,,,,,,
Germany,,5.1,5.2,5.2,5.6,6.1,6.2,6.3,6.5,6.7,6.8,7,6.8,7.2,7.2,7.6,8.6,9.2,9.5,10.2,10.6,10.3,10.8,
Honduras,,,,,,,,,,,,,,,,42,,,,,,,,
Hungary,10.3,10.8,9.8,8.9,10.7,10.7,13,12.5,11.7,12.7,11.2,11.2,10.4,11.8,11.8,11.8,12.3,12.1,12.3,12.9,13.2,16,16.3,15.3
