,Population (in thousands) total 2015,Population (in thousands) total 2014 ,Population (in thousands) total 2013,Population proportion under 15 (%) 2015,Population proportion under 15 (%) 2014,Population proportion under 15 (%) 2013,Population proportion over 60 (%) 2015,Population proportion over 60 (%) 2014,Population proportion over 60 (%) 2013,Population median age (years) 2013,Population living on &lt;$1 (PPP int. $) a day (%) 2007-2013
Afghanistan,32526.6,31627.5,30682.5,44,44.9,45.7,4,4,3.9,16.5,
Albania,2896.7,2889.7,2883.3,18.5,18.9,19.4,17.8,17.2,16.7,32.9,&lt;2.0
Algeria,39666.5,38934.3,38186.1,28.5,28.2,27.9,9,8.8,8.5,26.9,
Andorra,70.5,72.8,75.9,14.9,14.9,14.9,24.4,23.9,23.5,,
Angola,25022,24227.5,23448.2,47.7,47.9,48,3.8,3.8,3.8,16.3,43.4
Antigua and Barbuda,91.8,90.9,90,24.2,24.6,25,10.8,10.5,10.2,30.5,
Argentina,43416.8,42980,42538.3,25.2,25.3,25.5,15.1,15,14.8,31.1,&lt;2.0
Armenia,3017.7,3006.2,2992.2,18.4,18.7,19,16.3,15.5,14.9,32.7,&lt;2.0
Australia,23969,23622.4,23270.5,18.7,18.7,18.8,20.4,20.1,19.8,37.2,
Austria,8544.6,8516.9,8487,14.2,14.3,14.4,24.2,23.9,23.7,42.7,
Azerbaijan,9754,9629.8,9497.5,21.9,22,22.1,10,9.4,8.8,29.7,&lt;2.0
Bahamas,388,383.1,377.8,20.9,21.1,21.4,12.5,12.1,11.7,31.8,
Bahrain,1377.2,1361.9,1349.4,21.5,21.2,20.9,3.9,3.8,3.8,30.1,
Bangladesh,160996,159078,157157,29.4,30,30.5,7,6.9,6.9,25.1,43.3
Barbados,284.2,283.4,282.5,19.4,19.4,19.5,19.8,19.3,18.8,36.9,
Belarus,9495.8,9500.4,9497.3,16.1,15.8,15.4,20.3,19.9,19.6,39.3,&lt;2.0
Belgium,11299.2,11226.3,11153.1,16.9,16.9,16.9,24.1,23.9,23.7,41.6,
Belize,359.3,351.7,344.2,32.5,33.1,33.7,5.9,5.9,5.8,23,
Benin,10879.8,10598.5,10322.2,42.2,42.5,42.8,4.6,4.6,4.6,18.4,51.6
Bhutan,774.8,765,754.6,26.9,27.4,28.1,7.4,7.2,7,25.8,2.4
Bolivia (Plurinational State of),10724.7,10561.9,10399.9,32.4,32.9,33.4,9.2,9,8.8,22.4,8
Bosnia and Herzegovina,3810.4,3817.6,3823.5,13.5,13.6,13.9,22.4,21.8,21.1,39.5,&lt;2.0
Botswana,2262.5,2219.9,2176.5,32,32.2,32.4,5.9,5.7,5.6,22.5,13.4
Brazil,207848,206078,204259,23,23.5,24,11.7,11.3,11,30.3,3.8
Brunei Darussalam,423.2,417.4,411.5,23.1,23.5,23.9,7.6,7.2,6.7,30.5,
Bulgaria,7149.8,7201.3,7252.5,14.1,14,13.9,26.9,26.7,26.4,43,&lt;2.0
Burkina Faso,18105.6,17589.2,17084.6,45.6,45.8,46,3.8,3.8,3.8,17.1,44.5
Burundi,11178.9,10816.9,10466,44.8,44.6,44.5,4.2,4.1,4.1,17.6,
Côte d'Ivoire,22701.6,22157.1,21622.5,42.5,42.7,43,4.8,4.9,4.9,19,35
Cabo Verde,520.5,513.9,507.3,29.7,30,30.4,6.7,6.7,6.6,24.2,13.7
Cambodia,15577.9,15328.1,15078.6,31.6,31.8,32.1,6.8,6.6,6.4,24.4,10.1
Cameroon,23344.2,22773,22211.2,42.5,42.8,43,4.8,4.9,4.9,18.3,27.6
Canada,35939.9,35587.8,35230.6,16,16,16.1,22.3,21.8,21.3,40.1,&lt;2.0
Central African Republic,4900.3,4804.3,4710.7,39.1,39.4,39.7,5.9,5.9,5.9,19.7,62.8
Chad,14037.5,13587.1,13145.8,47.7,48,48.2,4,4,3.9,15.8,36.5
Chile,17948.1,17762.6,17575.8,20.1,20.5,20.8,15.7,15.3,14.8,33.1,&lt;2.0
China,1.40E+06,1.40E+06,1.40E+06,17.2,17.2,17.1,15.2,14.7,14.1,37.4,6.3
Colombia,48228.7,47791.4,47342.4,24.3,24.7,25.1,10.8,10.4,10,27.7,5.6
Comoros,788.5,770,751.7,40.3,40.5,40.7,4.6,4.5,4.5,19.1,
Congo,4620.3,4505,4394.3,42.6,42.6,42.5,5.5,5.5,5.5,18.8,32.8
Cook Islands,20.8,20.7,20.6,29.8,30.1,30.3,9.8,9.5,9.3,,
Costa Rica,4807.9,4757.6,4706.4,22.3,22.7,23.2,12.8,12.4,12,29.7,&lt;2.0
Croatia,4240.3,4255.9,4271.5,14.9,15,15.2,25.9,25.5,25.1,42.6,&lt;2.0
Cuba,11389.6,11379.1,11362.5,16.3,16.6,16.8,19.4,19,18.5,40.1,
Cyprus,1165.3,1153.7,1141.7,16.6,16.7,17,18,17.6,17.2,35.2,
Czechia,10543.2,10542.7,10545.3,15,14.8,14.7,24.9,24.5,24,40.3,&lt;2.0
Democratic People's Republic of Korea,25155.3,25026.8,24895.7,21.2,21.4,21.7,12.5,12.4,12.5,33.6,
Democratic Republic of the Congo,77266.8,74877,72552.9,46,46.2,46.3,4.6,4.6,4.6,17.4,
Denmark,5669.1,5646.9,5624.3,16.9,17.1,17.3,24.7,24.5,24.3,41.1,&lt;2.0
Djibouti,887.9,876.2,864.6,32.7,33,33.2,6.3,6.2,6.1,22.8,
Dominica,72.7,72.3,72,25.1,25.4,25.6,13.3,13,12.7,,
Dominican Republic,10528.4,10405.9,10281.4,30,30.3,30.5,9.7,9.5,9.2,25.8,2.3
Ecuador,16144.4,15902.9,15661.3,29,29.3,29.7,9.9,9.7,9.4,26.1,4
Egypt,91508.1,89579.7,87613.9,33.2,33,32.6,7.9,7.9,7.8,25.2,&lt;2.0
El Salvador,6126.6,6107.7,6089.6,27,27.6,28.3,11.5,11.2,11,24.1,2.5
Equatorial Guinea,845.1,820.9,797.1,39.3,39.4,39.6,5.1,4.9,4.8,20.6,
Eritrea,5227.8,5110.4,4998.8,42.8,42.8,42.7,4.2,4.2,4.1,18.4,
Estonia,1312.6,1316.2,1320.1,16.1,15.8,15.6,25.2,24.8,24.4,40.9,&lt;2.0
Ethiopia,99390.8,96958.7,94558.4,41.4,42.1,42.7,5.2,5.2,5.2,18.2,36.8
Fiji,892.1,886.5,880.5,28.7,28.8,28.8,9.3,8.9,8.7,27.1,5.9
Finland,5503.5,5479.7,5453.1,16.3,16.3,16.3,27.2,26.8,26.4,42.3,&lt;2.0
France,64395.3,64121.2,63844.5,18.5,18.5,18.5,25.2,24.9,24.5,40.6,
Gabon,1725.3,1687.7,1650.4,37.1,37.3,37.4,7.3,7.3,7.4,20.7,
Gambia,1990.9,1928.2,1866.9,46.2,46.3,46.4,3.7,3.7,3.7,17,
Georgia,3999.8,4034.8,4082.7,17.3,17.2,17.1,19.3,19.1,19,37.6,14.1
Germany,80688.5,80646.3,80565.9,12.9,13,13.1,27.6,27.2,26.8,45.5,&lt;2.0
Ghana,27409.9,26786.6,26164.4,38.8,38.9,39,5.3,5.3,5.3,20.6,
Greece,10954.6,11000.8,11055.2,14.6,14.6,14.6,27,26.6,26.1,42.8,&lt;2.0
Grenada,106.8,106.3,105.9,26.5,26.6,26.8,10.2,10,9.9,26.3,
Guatemala,16342.9,16015.5,15690.8,36.6,37.1,37.6,7,6.9,6.8,19.4,13.7
Guinea,12608.6,12275.5,11948.7,42.5,42.7,42.9,5.1,5.1,5,18.6,40.9
Guinea-Bissau,1844.3,1800.5,1757.1,40.8,41,41.1,5.3,5.3,5.2,19.1,
Guyana,767.1,763.9,761,28.8,29.8,30.8,8.3,8,7.7,22.6,
Haiti,10711.1,10572,10431.2,33.7,34.2,34.6,7.1,6.9,6.8,22.2,
Honduras,8075.1,7961.7,7849.1,31.8,32.5,33.3,7.2,7,6.8,21.9,16.5
Hungary,9855,9889.5,9924.5,14.6,14.5,14.5,24.9,24.5,24,40.6,&lt;2.0
Iceland,329.4,327.3,325.4,20.3,20.4,20.6,19.2,18.7,18.2,35.5,&lt;2.0
India,1.30E+06,1.30E+06,1.30E+06,28.8,29.2,29.6,8.9,8.7,8.4,26.4,24.7
Indonesia,257564,254455,251268,27.7,28,28.2,8.2,8,7.9,27.8,16.2
Iran (Islamic Republic of),79109.3,78143.6,77152.4,23.6,23.5,23.4,8.2,8,7.7,28.5,
Iraq,36423.4,35273.3,34107.4,41,41.1,41.3,5,5,4.9,19.7,3.9
